Address (block of),Locatison,Neighborhood,Gender,Cause,Story url,Location,age,Latitude,Longitude
3800 W. Flournoy St.,Alley,East Garfield Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/two-shot-on-west-side-1.html,3800 W. Flournoy St. Chicago,38,41.873,-87.720
1400 N. Mason Ave.,Alley,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/man-shot-killed-in-vehicle-in-north-austin.html,1400 N. Mason Ave. Chicago,20,41.906,-87.775
1600 S. Loomis St.,Vehicle,Near West Side,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/police-investigate-west-side-slaying.html,1600 S. Loomis St. Chicago,19,41.860,-87.662
2000 W. Howard St.,Parking lot/garage,West Ridge,Male,Gunshot,,2000 W. Howard St. Chicago,28,42.019,-87.673
5200 S. Carpenter St.,Sidewalk,New City,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/teen-19-chased-down-and-slain-on-street.html,5200 S. Carpenter St. Chicago,19,41.800,-87.652
13200 S. Ellis Ave.,Street,Riverdale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/man-charged-in-far-south-side-slaying.html,13200 S. Ellis Ave. Chicago,31,41.656,-87.597
1800 N. St. Louis Ave.,Street,Logan Square,Female,Gunshot,http://www.chicagobreakingnews.com/2009/04/charges-filed-in-double-shooting.html,1800 N. St. Louis Ave. Chicago,18,41.917,-87.724
7800 S. Essex Ave.,Sidewalk,South Shore,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/man-shot-in-chest-after-dispute-in-south-shore.html,7800 S. Essex Ave. Chicago,21,41.753,-87.564
3400 S. Giles Ave.,Apartment,Douglas,Female,Stabbing,http://abclocal.go.com/wls/story?section=news/local&id=6784447,3400 S. Giles Ave. Chicago,73,41.833,-87.620
900 W. Garfield Blvd.,Sidewalk,New City,Male,Gunshot,http://www.chicagobreakingnews.com/2009/04/man-shot-dead-on-south-side-2.html,900 W. Garfield Blvd. Chicago,23,41.795,-87.648
5300 W. Chicago Ave.,Sidewalk,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/2-men-charged-in-west-side-slaying-of-teen.html,5300 W. Chicago Ave. Chicago,16,41.895,-87.758
7100 S. Washtenaw Ave.,Sidewalk,Chicago Lawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/man-fatally-shot-on-street-in-chicago-lawn.html,7100 S. Washtenaw Ave. Chicago,24,41.765,-87.691
3000 W. 54th Pl.,Alley,Gage Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/teens-body-found-burned-in-gangway.html,3000 W. 54th Pl. Chicago,15,41.795,-87.699
300 E. 107th St.,Street,Roseland,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/2-hurt-in-separate-shootings-on-far-south-side.html,300 E. 107th St. Chicago,18,41.700,-87.616
10500 S. Wabash Ave.,Apartment,Roseland,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/man-fatally-shot-while-trying-to-sell-gun.html,10500 S. Wabash Ave. Chicago,31,41.703,-87.623
4800 N. Troy Ave.,Sidewalk,Albany Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/2nd-man-dies-in-gang-related-shooting.html,4800 N. Troy Ave. Chicago,21,41.968,-87.707
4800 N. Troy Ave.,Sidewalk,Albany Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/2nd-man-dies-in-gang-related-shooting.html,4800 N. Troy Ave. Chicago,34,41.968,-87.707
1000 N. Kedzie Ave.,Street,Humboldt Park,Female,Auto crash,http://www.chicagobreakingnews.com/2009/05/2-killed-2-injured-in-humboldt-park-crash.html,1000 N. Kedzie Ave. Chicago,19,41.899,-87.707
1000 N. Kedzie Ave.,Street,Humboldt Park,Female,Auto crash,http://www.chicagobreakingnews.com/2009/05/2-killed-2-injured-in-humboldt-park-crash.html,1000 N. Kedzie Ave. Chicago,22,41.899,-87.707
7500 S. Coles Ave.,Apartment,South Shore,Male,Gunshot,,7500 S. Coles Ave. Chicago,45,41.760,-87.559
5900 S. Normal Blvd.,Vacant property,Englewood,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/4-shot-in-englewood.html,5900 S. Normal Blvd. Chicago,27,41.787,-87.638
4400 W. Adams St.,Sidewalk,West Garfield Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/man-shot-to-death-on-west-side.html,4400 W. Adams St. Chicago,16,41.878,-87.736
8200 S. Buffalo Ave.,Residential yard,South Chicago,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/man-found-slain-on-southeast-side.html,8200 S. Buffalo Ave. Chicago,21,41.746,-87.544
5100 S. Wolcott Ave.,Vehicle,New City,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/fatal-shooting-in-back-of-theyards.html,5100 S. Wolcott Ave. Chicago,26,41.801,-87.672
5500 W. Congress Pkwy.,Residence garage,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/police-investigate-austin-slaying.html,5500 W. Congress Pkwy. Chicago,38,41.874,-87.762
4700 W. North Ave.,Small retail store,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/police-seek-suspect-in-store-owner-slaying.html,4700 W. North Ave. Chicago,55,41.910,-87.744
2000 W. Garfield Blvd.,Street,New City,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/teen-near-hanover-park-home.html,2000 W. Garfield Blvd. Chicago,18,41.794,-87.675
600 N. Parkside Ave.,Porch/hallway,Austin,Male,Stabbing,http://www.chicagobreakingnews.com/2009/05/man-stabbed-to-death-on-west-side.html,600 N. Parkside Ave. Chicago,44,41.891,-87.767
3800 W. Ogden Ave.,Vehicle,North Lawndale,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/man-19-fatally-shot-in-north-lawndale.html,3800 W. Ogden Ave. Chicago,19,41.853,-87.720
4800 W. Polk St.,Street,Austin,Male,Gunshot,http://www.wbbm780.com/pages/4416443.php?contentType=4&contentId=4016559,4800 W. Polk St. Chicago,32,41.870,-87.745
8300 S. Brandon Ave.,Street,South Chicago,Female,Gunshot,http://www.chicagobreakingnews.com/2009/05/teen-charged-as-adult-in-se-side-slaying.html,8300 S. Brandon Ave. Chicago,25,41.745,-87.547
5100 W. North Ave.,Parking lot/garage,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/2-slain-in-separate-shootings-police-say.html,5100 W. North Ave. Chicago,19,41.910,-87.753
4700 W. Van Buren St.,Residence,Austin,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/infant-shot-dead-in-austin-home-police-say.html,4700 W. Van Buren St. Chicago,3,41.875,-87.743
3800 S. Wells St.,CHA parking lot,Armour Square,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/female-fatally-stabbed-on-south-side-cops-say.html,3800 S. Wells St. Chicago,37,41.824,-87.633
7100 S. Bell Ave.,Street,Chicago Lawn,Female,Gunshot,http://www.chicagobreakingnews.com/2009/05/homicide-west-englewood-chicago-police-lawanda-williams.html,7100 S. Bell Ave. Chicago,34,41.765,-87.680
7300 S. Merrill Ave.,Residence,South Shore,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/female-fatally-stabbed-on-south-side-cops-say.html,7300 S. Merrill Ave. Chicago,70,41.762,-87.573
8900 S. Hermitage Ave.,Residence,Auburn Gresham,Female,Stabbing,http://www.chicagobreakingnews.com/2009/05/female-fatally-stabbed-on-south-side-cops-say.html,8900 S. Hermitage Ave. Chicago,29,41.732,-87.667
1200 N. California Ave.,Sidewalk,West Town,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/man-slain-in-humboldt-park.html,1200 N. California Ave. Chicago,30,41.903,-87.697
9400 S. Burnside Ave.,Sidewalk,Chatham,Female,Gunshot,http://www.chicagobreakingnews.com/2009/05/4-shot-on-south-side.html,9400 S. Burnside Ave. Chicago,21,41.723,-87.607
6500 S. Evans Ave.,Sidewalk,Woodlawn,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/3-slain-in-two-shootings.html,6500 S. Evans Ave. Chicago,17,41.777,-87.607
3000 W. Van Buren St.,Street,East Garfield Park,Male,Gunshot,http://www.chicagobreakingnews.com/2009/05/3-slain-in-two-shootings.html,3000 W. Van Buren St. Chicago,27,41.876,-87.701
